75.81,-45.81,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
66.23,-47.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70.12,-38.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63.86,-43.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78.63,-75.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77.98,-76.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70.5,-47.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70.48,-43.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70.48,-43.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62.47,-46.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67.66,-44.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72.22,-31.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70.06,-23.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76.33,-53.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72.23,-43.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61.93,-46.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75.81,-56.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78.8,-59.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69.46,-29.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79.29,-38.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70.89,-42.51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73.67,-44.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78.37,-49.49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64.01,-16.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76.71,-44.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68.62,-41.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70.14,-31.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75.28,-42.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74.78,-30.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64.23,-17.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81.52,-82.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73.84,-41.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68.19,-44.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64.75,-42.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75.95,-28.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.4,-47.42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76.71,-57.43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80.84,-46.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76.13,-60.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76.29,-40.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79.92,-93.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68.54,-39.59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64.92,-45.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70.04,-42.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62.52,-47.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62.52,-47.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73.81,-40.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81.17,-40.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77.7,-51.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80.19,-46.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61.69,-46.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74.49,-39.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75.89,-27.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73.45,-34.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78.46,-48.61,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62.94,-43.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72.05,-35.41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74.99,-38.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
65.21,-41.81,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75.96,-42.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.72,-40.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.8,-48.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75.47,-23.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76.44,-41.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76.29,-64.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62.11,-44.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74.15,-50.76,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73.03,-25.49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
