,Depth [m],modelDensity [kg/m3],Density [kg/m3]
0,0.0,330.74722,
1,0.01954319141805172,327.05774,
2,0.049777355045080185,343.60443,
3,0.10061068832874298,368.73126,
4,0.1625760942697525,481.23187,
5,0.25186747312545776,574.4428,
6,0.2687167227268219,431.5052,
7,0.3168382942676544,400.95987,
8,0.3898797333240509,368.9923,
9,0.4454041123390198,366.50037,
10,0.457956463098526,358.57657,
11,0.4927745461463928,379.72122,
12,0.5144646763801575,357.41925,
13,0.5612486004829407,362.83536,
14,0.5992910861968994,399.3294,
15,0.6572509407997131,459.07587,
16,0.6935470104217529,581.2989,
17,0.6946746706962585,501.57013,
18,0.7033774852752686,416.08505,
19,0.7362483143806458,365.47003,
20,0.7463371753692627,368.94653,
21,0.7619609236717224,412.08234,
22,0.7774450182914734,365.6641,
23,0.7886894345283508,369.9132,
24,0.8103328347206116,363.48538,
25,0.851498544216156,362.45032,
26,0.8756305575370789,385.5971,
27,0.9111657738685608,479.63516,
28,0.9649243950843811,598.7138,
29,1.051770806312561,560.94147,
30,1.0795234441757202,442.61835,
31,1.1013789176940918,406.93582,
32,1.130911946296692,408.90167,
33,1.1448781490325928,396.78476,
34,1.1560015678405762,390.12057,
35,1.1725945472717285,393.82523,
36,1.183646559715271,397.91806,
37,1.213460922241211,391.11923,
38,1.2812517881393433,428.13324,
39,1.3401867151260376,496.03763,
40,1.4064778089523315,568.191,
41,1.437853217124939,553.5979,
512,1.45,501.97595,278.4237747
42,1.4763239622116089,450.35397,273.51712865714285
43,1.5011907815933228,417.59,268.61048261428573
44,1.5327609777450562,417.03262,263.7038365714286
45,1.587826132774353,411.7612,258.79719052857143
46,1.6119948625564575,409.59302,253.8905444857143
47,1.6275396347045898,406.21304,248.98389844285714
513,1.65,405.41602,244.0772524
48,1.6565759181976318,404.619,247.54826708235294
49,1.6823970079421997,407.05206,251.01928176470588
50,1.7251660823822021,438.21964,254.49029644705882
51,1.768966794013977,537.49274,257.96131112941174
52,1.807405948638916,589.4373,261.4323258117647
53,1.8312188386917114,609.8764,264.90334049411763
54,1.9137768745422363,510.4288,268.3743551764706
55,1.960591435432434,450.05255,271.8453698588235
56,1.9749565124511719,442.09915,275.31638454117643
57,1.9939285516738892,441.36823,278.7873992235294
58,2.0196754932403564,436.36264,282.2584139058823
59,2.0340120792388916,444.42377,285.7294285882353
60,2.041658639907837,424.5323,289.2004432705882
61,2.067784070968628,423.17523,292.6714579529412
62,2.1033294200897217,465.09625,296.1424726352941
63,2.1428589820861816,547.05725,299.613487317647
514,2.2,576.61005,303.084502
64,2.21386456489563,606.16284,304.85760071249996
65,2.2442755699157715,566.59656,306.630699425
66,2.2594685554504395,499.32816,308.40379813749996
67,2.282289743423462,445.19522,310.17689685
68,2.292825222015381,457.4501,311.94999556249996
69,2.305372714996338,436.91794,313.723094275
70,2.3167829513549805,441.40833,315.49619298749997
71,2.3775136470794678,440.84567,317.26929169999994
72,2.423637866973877,453.63562,319.04239041249997
73,2.4859321117401123,446.13306,320.81548912499994
74,2.5285842418670654,493.67667,322.5885878375
75,2.568268060684204,562.4469,324.36168654999994
76,2.650324821472168,607.2403,326.1347852625
77,2.7017993927001953,601.0343,327.90788397499995
78,2.7286951541900635,559.8907,329.6809826875
515,2.75,526.06604,331.45408139999995
79,2.7772727012634277,492.24146,333.3592266045454
80,2.802917242050171,482.86856,335.26437180909085
81,2.8137049674987793,476.62994,337.1695170136363
82,2.8407809734344482,477.56915,339.0746622181818
83,2.885688304901123,476.06888,340.9798074227272
84,2.9328479766845703,473.0459,342.8849526272727
85,2.949575662612915,467.13882,344.7900978318181
86,2.9821600914001465,477.7501,346.6952430363636
87,3.02587628364563,532.3225,348.60038824090907
88,3.03692889213562,589.15186,350.5055334454545
89,3.041158676147461,552.5276,352.41067864999997
90,3.067967414855957,517.2403,354.31582385454544
91,3.093242645263672,465.06033,356.22096905909086
92,3.1072323322296143,469.89908,358.12611426363634
93,3.1240134239196777,468.1604,360.0312594681818
94,3.1382083892822266,463.14224,361.93640467272724
95,3.1581432819366455,457.82663,363.8415498772727
96,3.1851646900177,459.62598,365.7466950818182
97,3.203519582748413,458.70416,367.6518402863636
98,3.2583701610565186,499.4333,369.5569854909091
99,3.2829017639160156,552.9164,371.4621306954545
516,3.3,571.59076,373.3672759
100,3.308326244354248,590.26514,374.3470140772727
101,3.3125288486480713,585.74255,375.32675225454545
102,3.3471741676330566,512.6638,376.3064904318182
103,3.374596357345581,481.0374,377.28622860909087
104,3.4057912826538086,473.604,378.2659667863636
105,3.424445152282715,468.3055,379.24570496363634
106,3.4354686737060547,474.74756,380.2254431409091
107,3.446927547454834,470.07556,381.2051813181818
108,3.461060047149658,464.08154,382.18491949545455
109,3.4970862865448,466.64636,383.1646576727273
110,3.5494656562805176,480.3147,384.14439585
111,3.5810227394104004,557.605,385.1241340272727
112,3.611504077911377,587.9351,386.10387220454544
113,3.6116464138031006,592.9921,387.0836103818182
114,3.685919761657715,528.0843,388.0633485590909
115,3.7038979530334473,494.0366,389.04308673636365
116,3.735351800918579,488.87897,390.0228249136364
117,3.758937358856201,482.4779,391.0025630909091
118,3.778149366378784,488.48587,391.9823012681818
