2008,2007,2006,2005,2004,2003
232.18,237.7,236.55,237.68,237.7,239.68
238.15,240.78,241.91,242.06,236.56,240.69
240.59,238.12,239.05,248.7,244.77,244.06
249.04,245.54,241.64,248.32,246.82,247.83
253.97,254.2,256.06,254.94,254.65,254.7
261.88,265.57,263.2,263.94,263.39,262.36
265.1,266.27,263.89,266.67,265.48,261.62
259.34,259.32,262.48,256.75,260.47,264.17
256.13,250.9,253.17,244.47,252.79,254.3
241.92,244.87,243.92,239.82,245.87,248.31
239.8,240.52,232.3,243.97,239.91,240.52
240.58,238.04,240.22,239.22,230.46,234.56
