2008,2007,2006,2005,2004,2003
0.08715,0.36357,0.22541,0.41036,0.2421,0.37602
0.21478,0.14175,0.26608,0.42159,0.33157,0.17733
0.29786,0.20438,0.19091,0.51939,0.47471,0.32498
0.41191,0.39738,0.18897,0.33413,0.19465,0.42031
0.30963,0.11956,0.32706,0.26575,0.11047,0.33968
0.18824,0.25026,0.40716,0.1788,0.28438,0.090278
0.15165,0.12529,0.16706,0.25289,0.37001,0.20165
0.32665,0.22092,0.3803,0.12012,0.53001,0.92433
0.48274,0.36671,0.20674,0.19066,0.29045,0.58313
0.47022,0.36501,0.2745,0.23701,0.4174,0.48097
0.42666,0.42674,0.14983,0.50021,0.34134,0.24418
0.32469,0.17003,0.3069,0.18664,0.10571,0.17624
