2003,2004,2005,2006,2007,2008
248.7,248.89,246.37,245.7,248.3,243.75
248.96,249.73,251.57,248.34,249.07,241.93
249.7,250.87,254.69,249.59,247.74,250.75
254.72,257.49,258.33,254.09,255.51,256.11
261.07,260.16,263.8,261.82,257.25,261.85
267.11,268.91,266.65,266.06,269.73,267.45
268.88,268.75,270.38,269.26,269.79,269.19
268.75,267.43,265.72,268.66,268.94,266.9
264.62,259.92,258.01,262.11,259.45,260.78
258.72,256.99,251.18,253.17,254.84,255.58
251.41,249.12,253.4,245.58,252.87,254.23
249.24,243.75,249.39,250.26,245.76,247.93
