2003,2004,2005,2006,2007,2008
0.17413,0.11739,0.26423,0.087879,0.26843,0.049847
0.087398,0.16902,0.36561,0.11878,0.094922,0.099198
0.15976,0.14999,0.27394,0.056887,0.1311,0.10706
0.2118,0.071619,0.17296,0.10514,0.16766,0.19768
0.1744,0.12033,0.17264,0.20197,0.089637,0.1634
0.26169,0.24376,0.013597,0.18162,0.51982,0.25532
0.18504,0.13637,0.19613,0.1617,0.03821,0.13126
0.58137,0.32193,0.13808,0.26031,0.24233,0.18988
0.33622,0.18808,0.21205,0.22443,0.18463,0.20869
0.27327,0.30571,0.17067,0.13918,0.21563,0.28485
0.11379,0.1323,0.30416,0.080065,0.19665,0.12149
0.107,0.057066,0.087304,0.1402,0.10324,0.14019
