2008,2007,2006,2005,2004,2003
0.072883,0.13208,0.44658,0.27218,0.066995,0.14348
0.15839,0.092751,0.044206,0.17607,0.0998,0.10933
0.033099,0.090265,0.066997,0.08911,0.15972,0.060475
0.030033,0.080035,0.37545,0.096749,0.080154,0.11445
0.07049,0.040774,0.070217,0.14201,0.019948,0.059662
-0.060258,0.0011681,0.22913,-0.044238,0.13506,-0.0030036
-0.015009,-0.018019,0.15108,0.048964,0.12115,-0.060612
0.014699,0.024508,0.15243,0.030719,0.10661,0.25441
0.36172,0.066766,0.1159,0.074169,0.088174,0.11657
0.14888,0.089722,0.062815,0.069433,0.11683,0.12416
0.037742,0.12513,0.14016,0.21384,0.042902,0.038558
0.07319,0.089932,0.03743,0.098652,0.12314,0.046228
