2008,2007,2006,2005,2004,2003
0.065911,0.16269,0.071426,0.092463,0.061946,0.19098
0.061912,0.072118,0.11849,0.20502,0.074735,0.074454
0.09412,0.1399,0.05989,0.27442,0.068158,0.14839
0.17077,0.14987,0.051156,0.17998,0.065701,0.18405
0.17379,0.066959,0.24455,0.22372,0.15285,0.1003
0.20829,0.64227,0.23123,-0.11363,0.27476,-0.024802
-0.045341,-0.033558,0.25472,0.28689,0.16676,0.063497
0.21506,0.21068,0.35675,0.18788,0.36766,0.5434
0.13544,0.15139,0.2117,0.23703,0.28334,0.31925
0.28619,0.25611,0.2028,0.18783,0.55731,0.2273
0.086022,0.17337,0.06926,0.3914,0.11585,0.10281
0.16079,0.083514,0.11339,0.098212,0.065586,0.13982
