2008,2007,2006,2005,2004,2003
247.55,255.53,252.6,253.94,259.57,258.9
249.12,259.55,256.98,259.85,257.78,252.76
257.42,254.77,259.93,261.68,256.76,257.11
265.34,261.17,260.43,263.75,264.43,260.41
269.63,265.51,268.22,268.53,267.29,267.67
271.71,272.79,270.91,271.7,272.12,271.96
272.94,272.87,272.56,273.17,272.46,272.88
271.49,273.13,272.47,271.72,272.45,273.27
266.72,267.26,268.56,265.08,265.74,270.25
261.05,263.07,262.96,259.65,261.29,266.85
258.76,259.24,257.21,260.29,258.56,258.08
254.01,252.59,254.93,256.85,252.85,257.29
