2008,2007,2006,2005,2004,2003
237.39,237.9,239.72,238.13,232.62,237.98
239.53,239.18,235.11,243.72,238.18,238.3
235.55,237.28,236.92,243.53,238.15,239.05
244.15,246.83,245.28,244.78,245.31,244.93
255.63,254.81,257.63,256.59,256.41,256.09
269.56,267.91,265.55,269.31,265.09,271.38
272.76,272.04,272,272.08,270.1,272.1
265.33,265.05,266.55,262.75,263.64,264.96
256.06,252.17,256.62,252.6,254.09,252.74
244.44,241.97,249.4,244.84,250.3,246.11
237.69,240.22,239.71,244.87,239.77,239.56
240.54,237.44,238.15,239.65,235.69,237.99
