2008,2007,2006,2005,2004,2003
237.72,243.85,238.17,243.12,244.55,246.14
240.11,246.25,247,247.26,244.99,246.06
246.74,243.3,246.52,253.42,249.46,248.53
253.82,251.45,247.71,254,251.66,253.18
258.51,257.21,259.18,259.25,258.12,258.58
264.84,269.23,265.7,267.3,268.09,267.39
268.77,270.5,268.64,270.47,268.35,266.65
264.43,265.4,266.78,262.43,265.29,266.87
259.56,255.39,258.75,250.11,256.8,259.1
249.54,250.1,249.81,245.6,250.37,254.03
248.19,249.01,238.31,250.47,245.57,247.03
246.43,244.39,246.57,245.29,235.43,244.05
