2008,2007,2006,2005,2004,2003
233.92,235.2,234.04,234.99,232.03,237.75
237.9,239.34,236.4,242.67,234.55,237.36
236.23,236.86,235.43,243.69,236.51,240.25
244.83,244.88,241.93,244.23,243.43,246.31
254.26,253.91,257.67,255.81,256.07,255.16
267.85,266.32,263.61,267.84,264.1,268.64
269.69,269.06,267.98,271.09,266.78,268.41
262.07,261.53,263.39,261.35,262.46,263.65
253.6,248.45,253.26,249.19,252.62,252.86
242.11,242,245.96,243.52,249.15,247.14
235.38,237.13,232.67,243.31,237.7,239.75
238.22,234.14,236.66,237.86,231.09,236.62
