1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0.46574,0.78567,0.22542,0.36977,0.72058,0.23119,0.21472,0.2581,0.16089,0.12229,0.88895,0.23812,0.66262,0.56946,0.2845,0.34184,0.61944,0.85876,0.63741,0.26113,0.66595,0.40288,1.3314,0.74747,0.68394,1.0494,2.1081,1.6147,0.70612,0.66688,0.18958,0.28784,0.73264,0.37997,0.090993,0.5301,0.48736
0.47049,0.45484,0.13732,0.67237,0.5657,0.53046,0.20186,0.22844,0.11327,0.58247,0.45765,0.29936,0.46985,1.548,0.44983,0.52586,0.82913,0.18322,0.46874,0.35072,0.38968,0.091083,0.5255,0.48349,0.98915,1.1964,0.39012,0.64571,1.0884,0.43878,0.25119,0.5294,0.5594,0.10872,0.29899,1.0424,0.49778
0.69687,0.38003,0.33941,0.50841,0.15425,0.23346,0.36137,0.38553,0.22771,0.3106,0.95496,0.19818,0.45088,0.3694,0.34921,0.38902,0.57807,0.90954,1.9181,0.059142,1.6285,0.13395,1.0535,0.43051,0.82281,0.39852,0.55859,0.96205,0.58261,0.27464,0.49538,1.4495,0.65081,0.42375,0.69812,0.57164,0.5442
0.83716,0.52832,0.72829,0.070009,0.78489,0.31547,0.084753,0.86539,1.1242,0.2088,1.4767,0.25845,0.92817,0.67471,0.214,2.1669,1.2153,1.2194,0.40468,0.082376,0.50668,0.084934,0.46649,0.86265,0.44128,0.70477,0.97976,3.0116,0.21149,0.16644,1.0507,0.53516,0.30543,0.46711,0.36961,0.7288,0.17157
0.12065,0.41043,0.54056,0.068426,0.78856,0.25289,0.13737,0.34667,0.38282,0.5816,0.49459,0.32702,0.91219,0.57789,0.37799,0.68021,0.56725,0.34374,0.44641,0.43108,0.15644,0.35327,0.015948,0.2132,0.10688,1.3219,1.4651,0.058022,0.39357,0.61943,0.79218,1.3316,1.4598,0.099194,0.52014,0.030668,0.77168
0.25777,3.4789,0.75785,0.72146,0.91292,0.03163,0.098198,0.20883,0.8436,0.22185,-0.040342,-0.0070705,1.6091,0.28826,0.76414,0.15896,0.0045485,0.42757,0.6882,0.68145,0.74881,0.42838,1.0023,-0.05467,0.14251,-0.031016,-0.039733,0.35047,0.48311,0.26261,0.44899,0.24541,0.47989,0.088702,0.40637,0.97899,0.30671
0.23432,0.23,0.58164,1.4506,0.38755,0.25547,0.13788,0.84694,0.90875,0.27636,0.092572,0.74404,0.39748,-0.010682,1.1717,1.8454,0.33675,0.062686,0.40949,1.3687,0.92595,0.75809,-0.031441,0.22742,0.35721,0.90925,0.43678,0.36408,0.59435,0.58297,0.093124,0.39113,0.26802,1.0129,0.32498,0.3326,0.50997
0.65449,0.63945,0.81027,1.2555,0.80974,0.25095,-0.039135,0.47578,0.021011,0.57222,1.1716,1.5375,0.32879,0.65767,1.5192,0.31022,0.55229,0.37806,0.5464,0.58017,0.18857,0.21766,0.38816,0.13039,0.26658,0.18736,0.026601,1.9661,1.0222,0.27187,0.80615,1.654,1.0778,0.88847,0.14686,0.22419,1.8874
0.96763,1.583,0.33855,0.44565,1.3874,0.63029,0.51673,0.35056,0.64631,1.5832,1.6872,1.4128,0.48504,0.26934,0.1073,1.0705,1.5747,1.5444,0.51479,1.2317,0.24755,1.0562,0.17842,1.8737,0.44241,2.2237,1.1216,1.2576,1.0514,1.1883,0.29143,0.1258,0.93383,0.76241,1.2211,0.23183,0.51364
1.0568,1.4558,0.31557,0.43469,0.437,0.60209,0.82673,0.59512,0.69938,0.35638,0.38761,0.29118,0.39779,0.37458,1.7819,0.73937,0.80495,0.73139,0.41646,0.52666,0.33178,0.75045,0.50136,1.9594,0.80204,0.79266,0.94706,1.5615,0.83693,2.9633,0.854,0.41791,0.85007,0.99751,1.318,0.57579,0.42651
0.26801,0.84157,1.3305,0.52024,0.54758,0.33661,0.67341,0.31433,0.36789,0.6357,0.24573,0.45363,0.36364,0.86801,0.21145,0.47657,2.0746,0.52013,0.88552,2.12,0.18436,1.2281,0.26556,0.37669,0.70328,0.93122,2.4888,1.7172,1.9943,0.61674,0.18774,1.0699,1.0958,1.5543,0.66862,0.98312,1.0024
0.40108,0.71183,0.45091,0.3978,0.76637,0.26038,0.93512,0.1994,1.0511,0.56524,0.9098,0.50055,0.71954,0.41254,0.36058,0.44704,0.19368,0.80585,0.30338,0.65955,0.58732,0.71287,0.89759,0.62837,1.2,1.042,0.7391,0.85034,0.80577,0.52708,1.1375,1.1214,0.67698,0.98269,1.2479,0.75788,0.79337
