2008,2007,2006,2005,2004,2003
0.11427,0.71451,0.2453,0.53286,0.20791,0.29635
0.25384,0.03373,0.33615,0.52021,0.52076,0.16218
0.4525,0.40187,0.26292,0.8138,0.75931,0.1777
0.35424,0.34799,0.55303,0.5458,0.43661,0.2839
0.48683,0.21258,0.41978,0.91872,0.0010202,0.51994
0.066685,0.39882,0.87305,0.076476,0.3794,-0.029739
0.067044,0.25749,0.1682,0.61656,0.45924,0.17189
0.34418,0.58558,0.67188,0.18612,0.52976,0.64646
0.5386,0.69601,0.2624,0.60635,0.16179,1.5547
1.2057,0.33208,0.27344,0.34052,0.65459,0.92188
1.2265,0.79012,0.20127,0.81674,0.56913,0.28907
0.33105,0.27245,0.3001,0.40638,0.22875,0.50768
