2008,2007,2006,2005,2004,2003
230.93,238.15,235.23,233.78,235.43,239.91
240.34,239.74,235.3,239.75,235.35,236.48
235.15,235.97,237.84,239.28,231.95,237.29
244.9,249.19,245.39,246.43,246.37,243.81
258.44,255.89,259.88,260.15,258.91,258.87
269.83,268.51,268.09,270.36,267.11,269.78
271.65,273.42,271.49,272.63,270.58,271.88
267.92,267.6,266.42,267.37,267.23,264.01
254.57,254.05,258.84,254.23,256.7,255.59
245.58,247.17,252.98,247.46,253.24,247.3
242.1,241.8,239.71,240.54,244.23,239.42
238.54,235.64,238.33,236.46,235.65,243.24
