2008,2007,2006,2005,2004,2003
0.1077,0.78581,0.32787,0.80103,0.32163,0.52643
0.29535,0.10784,0.36312,0.77117,0.62775,0.20668
0.49011,0.40658,0.38449,1.091,0.69858,0.28323
0.50147,0.45068,0.42481,0.56606,0.40436,0.33261
0.4155,0.16098,0.35038,0.62648,0.056559,0.56777
0.16039,0.23694,0.43564,0.12595,0.44931,0.080068
-0.0043864,0.15352,0.051545,0.37833,0.53526,0.16519
0.26646,0.48374,0.44157,0.11947,0.43277,0.76357
0.63439,0.70211,0.28829,0.40035,0.31139,0.97107
0.9614,0.51712,0.25174,0.3252,0.57932,1.0251
0.99699,0.94025,0.20997,0.72533,0.6291,0.35257
0.41993,0.29909,0.34834,0.42514,0.22545,0.5413
