2008,2007,2006,2005,2004,2003
0.14744,0.52643,0.28753,0.33281,0.15395,0.28043
0.065945,0.11938,0.29193,0.8931,0.26562,0.096689
0.22419,0.35327,0.12788,0.7081,0.14897,0.15522
0.25213,0.28322,0.13951,0.44707,0.14887,0.26053
0.16713,0.48387,0.17445,0.40035,0.31819,0.66526
0.53467,0.55977,0.68159,0.091666,0.23338,0.0615
1.1768,-0.10724,0.87448,0.52973,0.46348,0.61188
0.38592,0.24734,0.70664,0.21438,1.485,1.3941
0.3923,0.52625,0.30914,0.28804,0.78669,0.45309
0.57838,0.57444,0.36679,0.51569,1.4184,0.39415
0.12699,0.62561,0.23967,0.66365,0.69937,0.14667
0.26527,0.095358,0.40147,0.19019,0.20813,0.3888
