2008,2007,2006,2005,2004,2003
231.89,237.58,236.25,237.45,237.49,239.48
238.04,240.59,241.85,241.95,236.42,240.5
240.63,238.06,238.68,248.65,244.52,243.94
248.9,245.24,241.71,248.18,246.46,247.7
253.6,254.13,256.09,254.9,254.69,254.67
261.87,265.37,263.03,263.77,263.45,262.49
264.88,266.11,263.97,266.92,265.4,261.68
259.14,259.31,262.23,256.76,260.43,264.17
255.84,250.67,253.27,244.71,252.7,254.31
241.59,244.76,243.83,239.6,246.06,248.08
239.17,240.12,232.23,243.61,239.77,240.23
240.22,237.79,239.77,238.98,230.24,234.18
