2008,2007,2006,2005,2004,2003
246.78,249.51,247.73,249.87,249.97,251.05
244.41,251.97,252.05,252.04,250.81,252.6
252.81,249.24,251.68,257.01,254.1,253.64
257.46,256.98,254.44,259.52,258.3,257.71
263.31,260.11,264.02,264.87,263.33,263.56
269.71,271.49,268.71,269.24,270.65,269.86
270.97,271.54,270.86,271.93,270.39,270.66
268.79,269.98,269.87,268.21,269.09,270.2
263.5,260.75,264.02,256.9,262.33,264.75
255.98,256.65,255.15,253.22,256.86,259.39
254.03,253.67,246.65,254.87,251.2,252.89
251.43,250.16,252.51,250.96,244.27,249.86
