2008,2007,2006,2005,2004,2003
235.54,235.76,235.78,235.46,231.3,237.6
237.8,237.72,235.35,242.6,235.71,236.97
235.15,235.73,234.99,243.35,236.45,238.96
243.53,244.99,242.95,243.89,243.38,244.69
254.52,253.72,256.87,255.66,255.94,255.03
268.41,267,263.71,268.59,264.38,270.27
271.12,270.53,270.17,271.31,268.26,269.86
264.19,262.01,264.14,261.18,262.9,263.83
254.06,249.6,254.46,250.49,252.91,252.46
242.78,240.42,247.48,243.01,248.62,245.38
235.82,237.52,235.44,243.16,237.1,239.13
238.46,235.36,235.99,238.32,232.59,236.47
