2008,2007,2006,2005,2004,2003
234.17,236.84,235.15,235.54,231.67,236.07
238.78,238.74,237.84,243.7,235.25,237.37
235.42,235.39,235.79,244.69,240.24,239.84
244.32,245.41,243.12,244.93,243.75,246.21
254.86,253.55,256.95,256.03,255.62,254.58
267.85,268.19,263,268.49,264.07,268.32
269.91,270.13,268.52,271.57,268.11,268.59
262.41,261.26,262.89,260.53,261.38,264.45
253.17,248.83,253.32,249.89,252.77,251.99
241.83,241.1,245.39,242.63,248.02,245.92
236.36,237.28,234.92,243.03,236.69,238.97
239.69,235.25,235.66,237.97,233.18,235.47
