2008,2007,2006,2005,2004,2003
0.059883,0.12632,0.19905,0.19541,0.027676,0.10552
0.24443,0.082066,0.049181,0.18998,0.059609,0.081285
0.045302,0.12656,0.058413,0.06689,0.084418,0.070127
0.052266,0.11636,0.31503,0.031877,0.07005,0.10454
0.10249,0.012248,0.13876,0.12797,0.036339,0.060163
0.12271,0.15248,0.10136,0.014539,0.0090335,-0.0087985
0.15349,-0.029586,0.050522,0.12432,0.042484,-0.021878
0.26946,0.058412,0.14711,0.055125,0.13709,0.23198
0.2348,0.063868,0.1568,0.14889,0.13201,0.10493
0.13511,0.063971,0.072382,0.067505,0.1574,0.10297
0.087013,0.084992,0.12648,0.18304,0.034515,0.059299
0.15296,0.11657,0.056311,0.081351,0.12989,0.061482
