2008,2007,2006,2005,2004,2003
0.042232,0.14733,0.11051,0.14565,0.035955,0.13472
0.13575,0.053942,0.05545,0.18399,0.087555,0.043367
0.045204,0.092108,0.034276,0.12113,0.070276,0.066087
0.06259,0.11705,0.12793,0.071292,0.038339,0.10955
0.072335,0.026909,0.12445,0.080257,0.038475,0.10547
0.16866,0.5771,0.10862,-0.14677,0.16399,-0.032292
-0.10387,-0.0060608,0.11654,0.11876,0.1388,0.056145
0.2937,0.091327,0.17528,0.075987,0.12193,0.27085
0.12579,0.075318,0.16524,0.1463,0.14229,0.11575
0.14929,0.083733,0.10863,0.073481,0.1778,0.098485
0.062178,0.11154,0.077778,0.20751,0.044644,0.057159
0.095665,0.073592,0.060803,0.067996,0.081763,0.060422
