2008,2007,2006,2005,2004,2003
2.3593,6.354,3.9145,10.214,9.4887,12.145
3.1636,14.034,6.408,10.738,6.7596,5.3971
3.9319,3.7568,3.9945,6.8919,3.3521,7.9961
8.1217,3.6459,2.3347,2.3565,3.9234,4.4597
2.7615,2.1327,2.1381,0.58731,8.2898,2.1891
0.32045,1.4471,1.5519,-2.1646,1.3473,2.8723
-9.8579,-9.7005,-7.4212,-10.033,-8.4382,-6.493
-8.8605,-8.539,-8.4262,-8.2088,-8.4599,-6.9475
-0.86512,-1.5926,1.7824,-0.41459,-0.23729,-6.0004
3.4364,2.5959,3.8639,2.0479,0.31731,0.93145
5.6412,5.7104,3.0135,5.4844,5.9058,3.6713
6.6274,4.5415,3.9025,7.6264,4.0609,4.4856
