1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0.25312,0.12383,0.17188,0.03603,0.027735,0.20599,0.11574,0.29225,0.07287,0.068619,0.041075,0.087575,0.21838,0.090382,0.059714,0.03024,0.21423,0.40195,0.20612,0.070374,0.2246,0.08437,0.09608,0.15611,0.093041,0.19321,0.11879,0.24727,0.08368,0.11657,0.31791,0.3817,0.083913,0.085334,0.10766,0.062501,0.17424
0.15801,0.060915,0.11299,0.14759,0.040987,0.051754,0.23647,0.094675,0.094752,0.041437,0.037326,0.20401,0.027329,0.073267,0.18207,0.061147,0.19771,0.040672,0.059271,0.142,0.05073,0.11844,0.018033,0.078478,0.12707,0.332,0.12717,0.10837,0.061234,0.09188,0.18908,0.062737,0.15218,0.14178,0.064198,0.084045,0.063221
0.18904,0.073157,0.16681,0.079758,0.15932,0.16306,0.13961,0.15467,0.13585,0.026984,0.096343,0.08263,0.10916,0.067487,0.093475,0.098692,0.32726,0.061595,0.061885,0.16471,0.092212,0.1747,0.11486,0.19999,0.10076,0.34549,0.083799,0.16244,0.12154,0.11557,0.063839,0.07585,0.1181,0.31603,0.080574,0.068317,0.21511
0.073733,0.2281,0.17471,0.16857,0.030519,0.13872,0.17621,0.12231,0.12246,0.12355,0.13618,0.10242,0.094814,0.14215,0.32972,0.22172,0.25532,0.16696,0.27902,0.26467,0.32066,0.18372,0.058876,0.29987,0.079599,0.2005,0.048417,0.24362,0.19842,0.095488,0.19536,0.066212,0.084436,0.17156,0.17347,0.043377,0.37329
0.19842,0.34594,0.079737,0.13271,0.13778,0.34523,0.16064,0.15094,0.20335,0.17597,0.29906,0.13865,0.12284,0.5217,0.44096,0.41951,0.3246,0.21773,0.50419,0.1352,0.12093,0.20201,0.22763,0.23294,0.21206,0.30706,0.33072,0.12699,0.19179,0.20952,0.31268,0.15319,0.31626,0.14213,0.13606,0.18683,0.25716
0.23255,0.10063,0.081249,0.45915,0.35415,0.47274,0.048134,0.22256,0.47814,0.38857,0.2333,0.35953,0.28349,0.36611,0.063513,0.29391,0.20041,0.24635,0.13025,0.21114,0.097425,0.075836,0.43307,0.07337,0.4041,0.029468,0.30339,0.56194,0.23551,0.21069,0.31956,0.12073,0.50281,0.30218,0.28946,0.088457,0.054624
0.23716,0.38397,0.17606,0.082876,0.11829,0.16438,0.51297,0.41224,0.097053,0.47206,0.54219,0.18864,0.73921,0.22869,0.10575,0.16887,0.34516,0.30208,0.071973,0.17235,0.44835,0.71467,0.36889,0.17482,0.30067,0.40141,0.33319,-0.026188,0.046968,0.040115,0.39785,0.20602,0.18122,0.24286,0.66231,0.0023262,0.12978
0.68416,0.3529,0.22207,0.11767,0.46297,0.64184,0.48672,0.39476,0.44957,0.076879,0.11662,0.1964,0.27499,0.27949,0.56381,0.2238,0.55387,0.46659,0.55651,0.37109,0.72204,0.61483,0.16244,0.63898,0.53219,0.14855,0.45673,0.23623,0.15146,0.065894,0.58774,0.49202,0.35169,0.50742,0.36606,0.21358,0.69651
0.15572,0.26748,0.30467,0.19918,0.45738,0.14457,0.55696,0.55451,0.71806,0.096631,0.1692,0.26477,0.1521,0.34888,0.38916,0.29074,0.28038,0.24567,0.18017,0.32963,0.45447,0.25174,0.35367,0.4233,0.32093,0.2868,0.20045,0.20513,0.17276,0.27962,0.24626,0.32253,0.27559,0.32137,0.1684,0.34516,0.31658
0.076352,0.34375,0.15812,0.16289,0.19903,0.35718,0.10592,0.15041,0.44439,0.20336,0.17391,0.26781,0.50478,0.41322,0.13384,0.21874,0.11657,0.33565,0.29907,0.15687,0.14391,0.34205,0.32649,0.29655,0.46254,0.23379,0.17245,0.32607,0.37566,0.20753,0.24644,0.24038,0.25093,0.32026,0.11048,0.21567,0.26441
0.22005,0.16906,0.073928,0.2157,0.12039,0.26651,0.054802,0.20247,0.32151,0.34584,0.23339,0.18405,0.0816,0.13452,0.26438,0.46765,0.24469,0.13488,0.18436,0.16262,0.23733,0.13876,0.16608,0.12546,0.15282,0.32359,0.072572,0.20154,0.097319,0.10705,0.40219,0.18217,0.13812,0.15276,0.21239,0.23774,0.12518
0.12846,0.12428,0.13429,0.099702,0.098367,0.11456,0.10503,0.074895,0.10718,0.18155,0.26063,0.19176,0.070067,0.074542,0.13551,0.20949,0.23007,0.27336,0.18244,0.23135,0.27663,0.19979,0.19876,0.15363,0.062838,0.10866,0.17028,0.090723,0.17812,0.3425,0.28148,0.047881,0.16884,0.063463,0.096308,0.13511,0.098314
