2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
247.83,250.76,249.06,248.14,250.46,243.27,243.89,250.02,245.53,246.45,257.01,251.38,245.22,246.43,246.68,246.72,246.11,242.92,248.24,242.59,247.95,238.15,242.86,239.04,244.73,242.28,253.58,241.27,241.87,247.98,240.5,247.3,246.35,242.64,241.26,243.4,245.98
245.2,244.82,248.37,239.36,247,251.41,246.63,247.23,251.85,251.36,245.59,251.04,244.21,247.93,243.83,241.26,245,241.77,244.62,244.36,246.44,243.15,244.64,245.41,245.96,244.4,245.52,239.48,244.97,243.25,246.84,246.16,246.72,243.58,242.64,245.31,245.25
246.13,246.87,247.43,245.59,250.43,248.1,242.95,242.94,245.66,248.23,244.96,249.93,250.88,246.05,249.77,240.35,245.15,242.16,246.62,250.14,249.23,243.29,241.75,240.31,244.98,245.14,241.61,240.24,240.46,243.65,243.56,244.89,243.69,246.75,249.1,242.39,250.83
252.05,254.21,251.5,251.85,248.94,253.44,255.23,247.81,249.96,255.24,260.29,254.67,256.65,253.76,251.85,248.2,250.27,247.98,255.39,253.28,255.32,256.97,250.46,250.08,254.1,247.4,253.44,250.88,251.33,254.02,246.95,248.46,252.27,248.29,249.45,252.76,251.54
264.77,260.92,263.41,263.64,260.88,264.84,266.02,267.36,263.83,263.23,265.16,265.36,262.98,264.46,263.49,261.72,260.7,264.57,261.45,264.93,263.93,263.21,262.3,262.7,261.7,261.46,263.38,263.18,264.5,264.93,263.16,261.5,263.43,264.12,261.74,262.19,263.84
273.49,272.45,272.65,272.72,272.62,273.38,272.19,272.38,272.67,272.83,272.57,273.19,272.31,273.33,273.02,271.58,271.79,271.45,272.41,272.58,272.25,272.77,271.27,272.68,271,272.58,273.16,272.97,271.76,272.26,272.65,272.89,271.43,270.21,271.49,270.08,272.75
274.3,273.7,273.49,273.43,273.24,273.09,274.22,273.63,274.08,273.8,273.57,273.32,274.01,274.21,273.76,273.02,272.86,272.68,274.05,273.29,273.54,272.22,273.22,274.49,273.38,272.98,273.28,273.75,273.19,272.57,273.03,273.38,273.55,273.02,273.09,273.45,273.44
271.72,270.79,272.03,269.39,271.36,271.47,270.1,271.95,270.39,271.6,269.61,269.32,270.74,271.28,271.19,272.88,269.65,269.19,272.32,270.36,270.1,270.46,270.28,271.81,267.93,271.78,270.94,270.36,270.85,268.85,271.9,271.36,270.36,269.78,269.85,270.6,270.85
262.88,259.8,261.62,266.98,263.18,259.72,262.17,261.3,265.12,261.15,261.6,261.16,261.4,261.15,259.88,262.58,259.15,260.82,260.74,259.38,262.81,262.58,256.45,259.08,263.69,262.2,264.73,261.86,261.07,257.72,261.56,259.91,260.22,259.2,258.86,261.36,262.05
258.44,256.66,255.59,252.22,253.49,251.76,253.73,256.34,253.26,254.84,254.83,254.13,254.97,258.36,259.88,253.61,251.47,251.01,254.54,254.13,250.34,251.91,251.17,250.37,250.79,249.9,247.54,249.06,253.51,249.44,252.68,251.61,251.21,251.91,253.81,256.13,255.55
255.4,250.4,251.88,247.06,251.66,251.32,246.39,248.73,251.13,251.75,251.78,252.24,248.22,250.87,252.25,249.29,248.76,252.75,254.03,248.99,250.94,249.19,245.88,253.4,250.6,246.5,243.17,247.65,247.67,244.99,248.08,247.47,248.6,246,251.29,247.36,243.14
248.78,246.56,247.05,249.46,248.7,245.89,246.98,250.89,249.07,249.19,246.23,253.96,246.78,245.89,253.43,249.27,243.67,249.42,244.31,249.72,242.93,243.64,243.3,241.5,244.85,244.08,247.37,245.72,245.77,242.07,248.92,246.66,252.95,241.65,242.63,246.06,240.71
