2008,2007,2006,2005,2004,2003
240.94,246.46,240.46,245.13,247.12,249.45
240.23,249.85,249.81,249.53,248.01,247.46
249.11,244.55,249.9,255.55,250.06,250.45
256.16,253.93,251.15,256.33,254.63,255.35
261.04,259.3,261.52,262.89,261.11,261.27
267.69,271.07,267.4,268.86,270.1,269.55
269.93,271.47,270.24,271.54,269.75,269.99
267.02,268.75,268.67,266.75,268.4,269.66
261.47,258.35,261.09,254.25,258.18,262.64
253.06,251.8,252.88,248.86,254.31,257.35
252.39,252.19,241.1,253.26,249.7,249.55
248.16,246.26,248.24,247.61,238.39,247.9
