2008,2007,2006,2005,2004,2003
0.85861,5.1157,1.2719,5.1229,0.24134,2.1433
1.4051,0.95902,2.8042,6.1749,3.5061,0.30176
1.6428,1.5933,0.18589,4.1951,1.9772,2.5607
1.6652,1.8596,2.3506,0.81934,1.9287,2.3777
2.1428,0.66498,0.3907,1.654,1.8711,0.4488
0.062857,0.43644,1.3382,1.8648,0.87072,1.4428
-1.4564,-4.2889,-0.27319,-1.6793,-3.7334,-1.4038
-2.6582,-2.3163,-3.9996,-2.4778,-2.2615,-2.266
1.3533,1.4424,1.144,0.65342,0.63963,-1.013
1.7037,0.019688,0.090527,0.77828,0.35372,4.3607
4.7419,4.5359,1.3534,2.632,3.1127,0.8945
4.0634,0.64453,1.7332,3.3327,1.4125,3.422
