2008,2007,2006,2005,2004,2003
0.087393,0.19766,0.30062,0.1636,0.084313,0.14443
0.54225,0.10462,0.058459,0.1499,0.10964,0.22214
0.079837,0.10887,0.062096,0.091122,0.15183,0.12921
0.065244,0.03331,0.29889,0.055007,0.20381,0.26144
0.33994,0.091371,0.12948,0.10912,0.029182,0.081375
0.52394,0.072906,0.13137,0.069982,0.075461,0.050863
0.32237,0.146,0.032633,0.26558,0.31101,0.26403
0.38008,0.11472,0.24318,0.13845,0.175,0.31498
0.4693,0.18421,0.1682,0.15267,0.31172,0.10644
0.1148,0.1353,0.14202,0.09775,0.17271,0.14354
0.16645,0.12983,0.1408,0.15191,0.070871,0.21011
0.24979,0.12282,0.094185,0.22996,0.24841,0.044164
