2008,2007,2006,2005,2004,2003
239.32,239.11,242.83,241.31,234.39,238.84
241.64,240.55,237.64,245.39,239.57,239.36
237.56,239.12,239.73,244.75,240.55,239.81
245.38,247.91,247.92,246.63,247.29,246.24
256.6,256.22,258.4,258.22,256.71,257.15
270.62,268.75,266.7,270.31,266.75,272.14
273.26,272.3,272.48,272.56,271,272.76
266.11,266.21,267.19,263.64,264.28,265.51
257.12,252.95,257.36,253.97,255.39,253.67
245.33,243.99,249.41,245.86,251.36,247.95
239.46,241.81,241.36,245.97,240.88,241.52
242.1,239.21,239.15,241.03,237.81,239.21
