2008,2007,2006,2005,2004,2003
244.28,249.45,247.41,248.31,250.83,251.49
243.83,252.36,250.21,255.27,252,248.39
252.12,249.53,251.61,256.11,251.86,251.8
258.81,255.89,256.55,259.37,259.17,255.46
262.82,258.96,262.89,265.44,261.37,261.64
268.37,270.12,266.97,267.37,269.16,267.83
270.02,269.96,270,270.77,269.6,269.74
268.03,269.9,268.92,266.54,268.38,269.83
262.42,261.74,263.33,260.31,260.25,265.75
256.86,257.42,256.33,253.24,257.89,261.23
255.48,253.87,250.13,254.87,252.13,251.74
248.6,246.85,250.37,251.19,247.17,251.48
