2008,2007,2006,2005,2004,2003
0.15146,0.3752,0.15972,0.13796,0.29346,0.22511
0.53022,0.26936,0.15177,0.46748,0.13615,0.24182
0.10694,0.28224,0.053162,0.33659,0.1632,0.16994
0.11132,0.31794,0.086263,0.30715,0.11693,0.15756
0.17431,0.29632,0.045599,0.28,0.084478,0.52681
0.26459,0.043839,0.44783,0.041726,0.54269,0.26175
0.52851,-0.10322,0.34112,0.57327,0.45819,0.31671
0.46863,0.18734,0.30591,0.2441,0.4323,0.77487
0.3241,0.3835,0.30174,0.47441,0.61359,0.1996
0.54012,0.32592,0.46081,0.48794,0.90162,0.23587
0.2393,0.52648,0.1837,0.27211,0.60438,0.17005
0.15851,0.2908,0.26957,0.17046,0.42079,0.78777
