2008,2007,2006,2005,2004,2003
0.52489,1.8512,0.91121,2.6343,0.8233,3.0228
0.72498,3.0772,1.5783,2.5845,1.2773,0.87948
1.2172,0.64695,0.51208,1.193,1.0139,1.5121
2.2353,1.0371,0.61339,0.99416,1.0963,1.6261
1.0249,0.56785,0.59342,0.24502,2.0318,0.5591
-0.082413,0.34188,0.3277,2.0326,0.35516,0.86627
0.41409,0.6392,0.17583,0.7534,1.0521,0.14228
0.23162,1.1684,1.0898,0.96377,0.70344,1.509
0.6277,1.749,1.4986,0.40707,0.64502,0.64308
0.89015,0.80238,0.5545,0.5324,0.26932,2.8558
1.2672,1.6008,0.73938,1.7274,0.95058,1.2161
1.4332,0.75079,1.3102,1.2892,0.5428,1.0644
