2008,2007,2006,2005,2004,2003
233.99,238.97,238.04,238.19,236.4,238.8
240.38,241.46,240.46,244.18,237.26,239.79
239.76,236.5,240.2,245.08,242.55,243
247.14,244.3,244.5,247.08,246.98,247.33
253.96,254.07,255.99,255.25,254.28,253.64
263.96,265.83,260.93,265.28,261.86,263.35
266.3,266.2,264.86,267.06,265.42,263.33
261.57,259.31,260.68,258.79,260.26,263.86
254.33,249.53,252.49,248.57,253.32,252.08
242.59,244.72,246.73,242.3,247.35,246.85
239.91,238.97,235.64,243.58,240.26,240.73
240.72,236.54,236.25,240.2,233.97,235.24
