2008,2007,2006,2005,2004,2003
255.24,260.01,260.74,261,264.92,265.1
256.96,264.31,261.65,265.48,263.92,259.84
262.22,261.05,263.96,265.99,263.12,262.84
268.91,266.73,266.14,267.88,268.45,265.18
270.9,269.15,270.9,271.79,270.14,270.63
273.11,273.37,272.65,273.32,272.92,273.26
274.31,273.93,273.53,274.44,273.6,273.58
273.5,274.28,273.85,273,273.79,274
271.24,271.82,271.63,269.5,270.27,273.6
265.61,266.45,267.4,263.25,266.18,271.09
265.9,265.43,261.12,266.11,265.05,262.93
260.87,259.13,261.49,262.59,261.11,260.73
