2008,2007,2006,2005,2004,2003
234.09,235.24,234.19,233.91,230.34,236.3
236.74,237.13,235.12,242.27,234.63,235.79
234.19,234.99,233.76,242.92,236.76,238.6
242.98,244.62,241.76,243.58,242.3,244.6
254.04,253.09,256.48,255.19,255.13,254.49
267.59,266.94,262.99,267.98,264.06,268.36
270,269.31,268.66,271.07,266.92,268.52
262.8,260.8,262.63,260.41,261.66,263.26
252.54,247.91,253.04,249.52,252.16,251.47
241.53,239.63,245.62,242.17,247.26,245.22
235.33,236.45,233.98,242.57,235.73,238.53
238.09,234.11,235.26,237.25,231.27,235.34
