2008,2007,2006,2005,2004,2003
0.084278,0.3927,0.219,0.37598,0.25067,0.40168
0.20588,0.14173,0.25857,0.45371,0.29625,0.1694
0.29523,0.22696,0.20121,0.50832,0.4433,0.3234
0.43296,0.37111,0.18402,0.3468,0.17022,0.41444
0.27022,0.11855,0.29366,0.23952,0.13983,0.35305
0.18459,0.31672,0.4242,0.14528,0.30705,0.056693
0.16883,0.17074,0.15713,0.29444,0.52113,0.22054
0.2745,0.22901,0.35654,0.12077,0.50267,0.98684
0.46406,0.36748,0.19467,0.19183,0.27901,0.64195
0.46967,0.39967,0.2726,0.24042,0.42794,0.44988
0.39302,0.39141,0.158,0.49167,0.35197,0.22539
0.32069,0.1684,0.28286,0.17918,0.10627,0.16803
