2008,2007,2006,2005,2004,2003
242.11,243.51,240.42,243.65,239.24,246.63
244.74,247.7,244.38,246.8,242.45,243.4
245.22,244.73,244.58,249.05,240.61,245.89
250.84,250.34,250.01,248.41,251.81,250.94
259.87,259.54,262.6,261.1,262.53,260.77
270.93,268.98,268.18,270.42,267.64,271.53
271.94,272.86,271.82,272.46,270.38,271.41
269.04,269.52,268.98,267.92,267.41,267.09
259.68,257.98,261.42,257.05,259.88,259.41
250.75,250.24,253.68,252.96,257.52,255.29
244.6,247.61,243.18,250.34,248.73,248.47
246.96,243.21,245.11,245.47,240.41,246.56
