2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
241.98,236.82,242.33,237.62,236.42,239.47,243.43,236.27,234.09,236.38,234.39,236.15,233.1,237.85,237.43,235.64,238.73,236.39,240.8,240.36,239.47,228.72,232.38,229.24,237.05,233.82,234.73,232.84,229.51,244.48,237.71,239.66,232.1,229.08,235.26,231.16,244.71
236.14,227.76,237.4,239.31,236.93,238.42,242.3,234.92,238.42,240.94,237.69,243.11,235.06,238.17,226.31,234.84,235.03,235.94,230.65,233.87,239.11,231.68,241.58,230.51,232.47,243.41,231.66,229.64,237.12,235.43,243.27,232.07,231.88,232.43,238.55,230.45,237.93
244.27,236.76,234.83,240.93,239.73,232.49,237.27,235.38,237.83,237.74,236.21,244.32,238.22,241.17,232.71,235.93,233.29,236.77,231.53,234.48,242.83,233.49,231.69,230.71,233.44,237.27,229.4,230.42,236.01,238.07,238.7,239.23,235.71,229.93,240.02,234.46,240.74
251.83,240.1,242.54,243.77,243.44,239.22,244.18,241.84,246.07,244.99,242.13,244.48,244.06,247.37,240.35,245.34,250.32,245.93,250.84,242.14,247.11,247.04,248.08,244.16,242.56,240.2,239.86,244.58,241.62,245.16,243.11,245.06,241.37,243.37,243.66,244.32,242.43
256.63,254.1,252.09,252.31,255.21,255.33,259.16,255.67,254.01,254.13,257.94,255.41,256.46,255.37,256.95,253.27,252.21,255.08,257.39,256.55,255.38,256.68,257.84,254.03,249.91,255.35,255.99,251.68,258.55,254.91,255.19,260.01,250.96,253.48,251.72,254.83,256.58
263.67,263.48,265.67,264.03,268.67,264.94,268.48,260.77,266.84,266.1,263.29,267.29,264.08,267.88,266.38,261.84,261.3,262.38,268.26,264.16,263.35,263.8,261.47,265.44,260.8,263.91,265.23,263.15,263.66,266.38,261.93,262.21,264.83,262.22,262.99,262.88,265.22
269.58,270.11,268.79,267.14,269.45,269.85,268.56,268.79,268.72,268.33,267.22,270.6,266.71,267.1,269.14,265.51,264.65,266.42,269.55,263.78,264.39,267.98,264.95,268.77,264.24,263.74,265.6,265.24,266.33,267.51,262.15,267.28,267.37,267.03,263.91,268.46,267.76
261.91,259.44,260.51,259.56,262.99,261.56,262.51,258.47,261.36,261.75,263.28,261.19,262.28,263.32,258.73,261.34,261.88,261.05,262.07,258.36,258.66,262.19,261.13,260.32,256.59,257.4,259.9,259.59,260.36,263.86,261.92,262.26,261.1,257.16,259.63,260.29,261.41
252.15,252.89,250.15,252.54,252.37,253.78,255.49,247.8,254.48,249.32,254.15,249.03,253.12,253.41,256.16,253.06,255.65,252.1,252.45,248.15,252.07,252.72,251.56,254.88,250.09,249.86,248.88,244.9,254.35,252.04,253.9,249.16,252.66,248.21,250.35,251.32,249.22
248.21,246.2,243.4,243.69,245,240.67,245.56,242.24,242.13,243.26,246.1,243.76,249.5,247.76,249,245.54,241.87,242.37,245.73,245.69,240.21,242.74,237.29,246.48,250.89,241.74,240.57,243.14,247.39,240.91,239.73,244.19,243.38,240.66,242.75,244.48,239.92
241.56,238.85,243.37,234.33,238.3,239.84,247.66,236.48,236.46,238.52,232.65,243.7,239.14,240.68,244.42,237.66,243.32,236.41,240.84,240.92,238.76,248.41,241.55,239.24,237.57,237.48,240.88,243.04,243.77,241.17,233.89,242.17,238.94,237.66,235.47,238.82,239.96
237.49,231.9,235.25,235.75,238.88,232.4,243.33,243.05,239.29,234.87,237.82,238.46,230.84,237.07,241.93,239.7,239.84,237.31,240.57,242.15,241.24,240.21,234.11,231.01,231.34,237.19,241.03,239.97,233.63,231.35,238.28,238.54,239.28,237,236.2,236.33,234.5
