,y,x,HLdynamic,Li2011,Helsen2008,Arthern2010S,Goujon2003,Barnola1991,KuipersMunneke2015,Simonsen2013,Crocus,Arthern2010T
22,66.61,-47.43,-0.004103560000000006,-0.00553961,-0.006705150000000021,-0.0033500700000000105,-0.008291230000000038,-0.007141140000000018,-0.004277350000000013,-0.0035365499999999994,-0.01017398,-0.07427472000000002
23,79.66,-39.08,-0.013689919999999994,-0.014629950000000003,-0.01669197,-0.016076000000000007,-0.08571156999999999,-0.1220063,-0.013447480000000012,-0.01412601999999999,-0.40446441,
24,62.37,-43.85,0.0034030639999999904,,,,,0.090276538,-0.024012454000000006,0.024513527999999993,-0.27740538200000003,
25,79.94,-79.79,-0.002138080000000042,-0.0025950799999999996,-0.003040960000000009,-0.0028637700000000155,0.008605269999999998,0.007642829999999989,-0.0027153799999999895,-0.0024705000000000144,0.0058218499999999895,-0.13482939
26,74.19,-32.56,-0.009511190000000003,-0.010228340000000002,-0.012309939999999991,-0.011019770000000012,0.003071789999999991,0.0012022899999999948,-0.009942649999999997,-0.009706800000000015,-0.06466369999999999,
27,70.42,-33.84,-0.006443399999999988,-0.007796200000000003,-0.008235140000000002,-0.009028219999999976,-0.060654949999999985,-0.027078169999999985,-0.007115709999999997,-0.007580370000000003,-0.39188135,
28,67.94,-35.17,0.00011817000000000077,-0.01043637,0.004166979999999987,-0.002949940000000012,-0.222988717,-0.0020883899999999955,0.003911869999999984,0.0009907999999999861,-0.38843709000000004,
29,75.91,-51.29,0.0029849999999999877,0.0035215100000000055,0.003406880000000001,0.0027209400000000328,-0.02729566,-0.01778576000000001,0.0045832399999999884,0.0036283099999999957,-0.3758569,
30,73.03,-27.04,-0.005086029999999991,-0.01014045999999999,-0.004094010000000009,-0.013619799999999987,-0.04453262999999999,0.0009740300000000146,-0.004136219999999996,-0.008570209999999967,-0.38497530999999996,
31,75.67,-54.48,0.002061780000000013,0.0023362600000000067,0.004333539999999997,0.0010368600000000006,-0.07257224000000001,-0.01486454000000001,0.003418599999999994,0.0020004299999999975,-0.35775696,
32,81.32,-67.19,0.006552950000000002,0.00808333,0.010217290000000018,0.005959560000000003,-0.30658799000000003,-0.13827562,0.007991300000000007,0.006162570000000006,-0.38782325,
33,74.76,-50.95,0.005477839999999984,0.007004239999999967,0.008892769999999967,0.005682049999999966,-0.10616710000000001,-0.03349545000000001,0.007737409999999972,0.006705319999999987,-0.37125647000000006,
34,69.63,-40.64,0.006018599999999985,0.005437949999999997,0.0069176199999999854,0.006417649999999997,,0.0020522800000000174,0.009076420000000002,0.007554149999999982,-0.39778824,
35,70.38,-33.66,-0.006558850000000005,-0.007976889999999986,-0.008403209999999994,-0.009227349999999995,-0.07252417,-0.03100386999999999,-0.007228760000000001,-0.007667220000000002,-0.39301663,
36,70.61,-44.95,0.006124930000000001,0.005912139999999982,0.010765419999999998,0.006178030000000001,-0.07626089000000003,0.0006211099999999803,0.010939049999999978,0.008170889999999986,-0.37415972,
37,70.69,-42.43,0.007625810000000011,0.007432820000000007,0.01107298000000001,0.007905730000000027,-0.07485243999999999,-0.0018363299999999971,0.011291419999999996,0.009264889999999998,-0.38620968,
38,65.54,-41.73,-0.00048661999999999317,-0.0023443400000000003,,,0.002009259999999985,-0.004094600000000004,0.0013177900000000131,-0.002722290000000016,-0.39089869,
39,69.63,-40.19,0.010366020000000004,0.010437740000000001,0.011298720000000012,0.011261329999999986,-0.2423612,0.002313759999999998,0.013256669999999998,0.011778060000000007,-0.39326543999999997,
40,76.77,-39.03,-0.011535459999999997,-0.013242439999999994,-0.015134669999999989,-0.01413383999999998,-0.12538644399999999,-0.15279919399999997,-0.01137279999999996,-0.011821699999999963,-0.40616755,
41,76.26,-40.76,-0.008778540000000001,-0.009632840000000004,-0.01157337,-0.01077686,-0.307614225,-0.34398549,-0.007911230000000019,-0.00844793000000002,-0.41316092000000004,
42,74.87,-36.46,-0.018688329999999975,-0.02024553999999998,-0.02218341999999998,-0.021264599999999967,-0.12440526999999998,-0.18085004,-0.018433859999999996,-0.019155359999999982,-0.41947057,
43,79.75,-47.38,0.02231883999999998,0.023555819999999977,0.023232979999999986,0.024247329999999984,-0.32646264,-0.35044768000000004,0.0226122,0.022684989999999988,-0.37165025,
44,73.54,-28.32,-0.008487439999999985,-0.011842699999999984,-0.012869080000000005,-0.012795299999999982,-0.16513805999999998,-0.06839361,-0.010667939999999987,-0.011102639999999997,-0.41197117,
45,71.28,-38.68,-0.0014742800000000222,-0.004206900000000013,-0.0039982200000000245,-0.00431098000000002,-0.2195386953,-0.09251103000000002,-0.002341289999999996,-0.0023511800000000083,-0.40737695,
46,71.74,-35.33,-0.006143590000000004,-0.007146469999999988,-0.008057900000000007,-0.008210319999999993,0.017893119999999985,0.01976713999999999,-0.006787950000000015,-0.007004859999999974,-0.09361311,
